_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
671b42dd50538de2c226e7cb,,47.97,79.75,63.17,46.26,60;10;2;4,time,15,-1,1,15.01,1,0.23,false,false,english,none,normal,false,false,false,,1729839837000
6718eebc50538de2c20a4c4a,,59.98,91.67,66.38,75.78,75;5;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729687228000
6718ebc950538de2c20a1ffd,,71.96,100,71.96,62.01,90;0;0;0,time,15,-1,1,15.01,0,3.27,false,false,english,none,normal,false,false,false,,1729686473000
6718eb2d50538de2c20a176a,,50.39,86.36,69.59,72.97,63;6;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729686317000
6718eb1c50538de2c20a166a,,63.98,96.39,64.78,61.05,80;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729686300000
6718eb0650538de2c20a1526,,51.17,94.94,63.17,66.42,64;0;1;2,time,15,-1,1,15.01,1,0.47,false,false,english,none,normal,false,false,false,,1729686278000
6718eaf450538de2c20a13ee,,60.79,84.78,71.18,73.47,76;8;0;4,time,15,-1,2,15,0,0.93,false,false,english,none,normal,false,false,false,,1729686259000
6718eade50538de2c20a12a7,,63.19,86.6,75.19,71.84,79;6;2;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729686238000
6718eacc50538de2c20a1198,,51.97,94.44,55.17,63.37,65;0;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729686220000
6718eabb50538de2c20a109d,,58.4,87.5,75.99,60.99,73;6;1;2,time,15,-1,2,15,1,9.35,false,false,english,none,normal,false,false,false,,1729686203000
6717b2cc50538de2c2fb8e13,,72.79,97.85,72.79,64.57,91;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729606348000
6717b2ba50538de2c2fb8cb2,,56.77,98.61,56.77,64.98,71;0;0;0,time,15,-1,3,15.01,1,3.45,false,false,english,none,normal,false,false,false,,1729606330000
6717b2a250538de2c2fb8ada,,74.31,98.94,74.31,78.62,93;0;0;0,time,15,-1,3,15.02,0,9.49,false,false,english,none,normal,false,false,false,,1729606306000
6717b26f50538de2c2fb8712,,62.39,91.09,79.99,68.63,78;4;1;0,time,15,-1,1,15,0,0.19,false,false,english,none,normal,false,false,false,,1729606255000
67164e1e50538de2c2e9ec47,,73.57,90.74,86.37,71.67,92;7;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1729515038000
67164e0c50538de2c2e9eb19,,39.99,77.5,60.78,74.69,50;10;0;4,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729515020000
67164df850538de2c2e9e9d8,,75.99,96.23,83.98,73.42,95;0;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729515000000
67164de450538de2c2e9e88e,,55.18,87.95,64.78,54.88,69;6;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514980000
67164dc650538de2c2e9e6ce,,75.18,98.95,75.18,72.55,94;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729514950000
